epoch,step,train_loss,val_loss
0,29,0.6338403820991516,
0,59,0.6802716255187988,
0,89,0.6875787377357483,
0,119,0.6863641142845154,
0,149,0.755951464176178,
0,179,0.6254097819328308,
0,209,0.6309047937393188,
0,239,0.6602259278297424,
0,269,0.6822493076324463,
0,299,0.7061755061149597,
0,329,0.6808823347091675,
0,359,0.6899933218955994,
0,389,0.6977872252464294,
0,419,0.5817559957504272,
0,449,0.7205590605735779,
0,479,0.6970335245132446,
0,509,0.7029033303260803,
0,539,0.6851657032966614,
0,569,0.6723782420158386,
0,599,0.6384952664375305,
0,629,0.7042547464370728,
0,659,0.6858952045440674,
0,689,0.712797999382019,
0,719,0.7429200410842896,
0,749,0.7026470303535461,
0,779,0.7103281021118164,
0,809,0.6943821310997009,
0,839,0.6660629510879517,
0,869,0.7444087266921997,
0,899,0.7818862795829773,
0,929,0.6876332759857178,
0,959,0.758253276348114,
0,989,0.6145651936531067,
0,1019,0.735568106174469,
0,1049,0.6180068850517273,
0,1079,0.623753547668457,
0,1109,0.752442479133606,
0,1139,0.7118937373161316,
0,1169,0.6773464679718018,
0,1199,0.7075314521789551,
0,1229,0.5769774317741394,
0,1259,0.6889227628707886,
0,1289,0.7009680271148682,
0,1319,0.6676198840141296,
0,1349,0.6585200428962708,
0,1379,0.6345541477203369,
0,1409,0.7234294414520264,
0,1439,0.7146947979927063,
0,1469,0.6435813903808594,
0,1499,0.7178032994270325,
0,1529,0.6977853775024414,
0,1559,0.5886260867118835,
0,1589,0.7674674987792969,
0,1619,0.6790347695350647,
0,1643,,0.719778835773468
1,1649,0.3381378650665283,
1,1679,0.04916907101869583,
1,1709,0.03807796165347099,
1,1739,0.03556216508150101,
1,1769,0.018097370862960815,
1,1799,0.010784185491502285,
1,1829,0.015920056030154228,
1,1859,0.013439337722957134,
1,1889,0.01096490677446127,
1,1919,0.011770635843276978,
1,1949,0.00986883882433176,
1,1979,0.010249865241348743,
1,2009,0.011954400688409805,
1,2039,0.004434468690305948,
1,2069,0.011617747135460377,
1,2099,0.007895148359239101,
1,2129,0.007827880792319775,
1,2159,0.003987095318734646,
1,2189,0.01688835583627224,
1,2219,0.012812092900276184,
1,2249,0.012331369332969189,
1,2279,0.005933178123086691,
1,2309,0.012904890812933445,
1,2339,0.008295140229165554,
1,2369,0.004961682483553886,
1,2399,0.020804742351174355,
1,2429,0.008150956593453884,
1,2459,0.010106061585247517,
1,2489,0.00871241558343172,
1,2519,0.008036614395678043,
1,2549,0.008258224464952946,
1,2579,0.006517651956528425,
1,2609,0.0057728891260921955,
1,2639,0.006474524270743132,
1,2669,0.0085434066131711,
1,2699,0.006895674392580986,
1,2729,0.005730096250772476,
1,2759,0.010301236994564533,
1,2789,0.006133928894996643,
1,2819,0.004450618755072355,
1,2849,0.00552354333922267,
1,2879,0.014885972253978252,
1,2909,0.0048929196782410145,
1,2939,0.015327779576182365,
1,2969,0.010956333950161934,
1,2999,0.007295234128832817,
1,3029,0.018219394609332085,
1,3059,0.006670631002634764,
1,3089,0.006377257406711578,
1,3119,0.008586535230278969,
1,3149,0.00783931091427803,
1,3179,0.012655746191740036,
1,3209,0.00688852509483695,
1,3239,0.007670669816434383,
1,3269,0.012386010028421879,
1,3287,,0.007227583322674036
2,3299,0.009740445762872696,
2,3329,0.006093230098485947,
2,3359,0.006270076148211956,
2,3389,0.004605337046086788,
2,3419,0.0056002261117100716,
2,3449,0.007492379285395145,
2,3479,0.002879414241760969,
2,3509,0.006051886361092329,
2,3539,0.00303270248696208,
2,3569,0.0054222275502979755,
2,3599,0.005997834727168083,
2,3629,0.015414409339427948,
2,3659,0.0016730373026803136,
2,3689,0.00639197276905179,
